TRADEDATE,close,ret,date_raw,key_rate,inflation,inflation_target
2024-12-05,2510.83,0.0101423387323886,12.2024,21.0,9.52,4.0
2024-12-06,2536.23,0.0101161767224384,12.2024,21.0,9.52,4.0
2024-12-09,2572.89,0.0144545250233614,12.2024,21.0,9.52,4.0
2024-12-10,2522.75,-0.0194878133149881,12.2024,21.0,9.52,4.0
2024-12-11,2512.54,-0.0040471707462095,12.2024,21.0,9.52,4.0
2024-12-12,2492.63,-0.0079242519522076,12.2024,21.0,9.52,4.0
2024-12-13,2485.2,-0.0029807873611407,12.2024,21.0,9.52,4.0
2024-12-16,2420.3,-0.026114598422662,12.2024,21.0,9.52,4.0
2024-12-17,2377.15,-0.0178283683840846,12.2024,21.0,9.52,4.0
2024-12-18,2409.35,0.0135456323749025,12.2024,21.0,9.52,4.0
2024-12-19,2416.45,0.0029468528856331,12.2024,21.0,9.52,4.0
2024-12-20,2638.42,0.0918578907074427,12.2024,21.0,9.52,4.0
2024-12-23,2702.48,0.0242796825372759,12.2024,21.0,9.52,4.0
2024-12-24,2690.96,-0.004262751250703,12.2024,21.0,9.52,4.0
2024-12-25,2732.83,0.0155595029283228,12.2024,21.0,9.52,4.0
2024-12-26,2766.57,0.0123461759421552,12.2024,21.0,9.52,4.0
2024-12-27,2757.45,-0.0032965007211096,12.2024,21.0,9.52,4.0
2024-12-28,2786.67,0.0105967469945058,12.2024,21.0,9.52,4.0
2024-12-30,2883.04,0.0345824945185471,12.2024,21.0,9.52,4.0
2025-01-03,2828.5,-0.0189175314945335,1.2025,21.0,9.92,4.0
2025-01-06,2816.26,-0.004327382004596,1.2025,21.0,9.92,4.0
2025-01-08,2840.79,0.0087101332973518,1.2025,21.0,9.92,4.0
2025-01-09,2773.12,-0.0238208385695528,1.2025,21.0,9.92,4.0
2025-01-10,2824.59,0.0185603219478422,1.2025,21.0,9.92,4.0
2025-01-13,2866.11,0.0146994785083853,1.2025,21.0,9.92,4.0
2025-01-14,2859.51,-0.0023027727477311,1.2025,21.0,9.92,4.0
2025-01-15,2842.96,-0.0057877048865015,1.2025,21.0,9.92,4.0
2025-01-16,2911.29,0.0240348087908377,1.2025,21.0,9.92,4.0
2025-01-17,2945.52,0.0117576744329832,1.2025,21.0,9.92,4.0
2025-01-20,2929.55,-0.0054217930959558,1.2025,21.0,9.92,4.0
2025-01-21,2934.71,0.001761362666621,1.2025,21.0,9.92,4.0
2025-01-22,2972.62,0.0129178010774488,1.2025,21.0,9.92,4.0
2025-01-23,2926.1,-0.0156494943854242,1.2025,21.0,9.92,4.0
2025-01-24,2947.94,0.0074638597450531,1.2025,21.0,9.92,4.0
2025-01-27,2891.39,-0.0191828870329789,1.2025,21.0,9.92,4.0
2025-01-28,2931.97,0.0140347722029887,1.2025,21.0,9.92,4.0
2025-01-29,2950.68,0.0063813749799623,1.2025,21.0,9.92,4.0
2025-01-30,2967.47,0.00569021378123,1.2025,21.0,9.92,4.0
2025-01-31,2948.1,-0.0065274459387962,1.2025,21.0,9.92,4.0
2025-02-03,2926.17,-0.007438689325328,2.2025,21.0,10.06,4.0
2025-02-04,2917.71,-0.0028911512318149,2.2025,21.0,10.06,4.0
